,,,American Indian Alaskan Native,American Indian Alaskan Native,Asian or Pacific Islander,Asian or Pacific Islander,Black or African American,Black or African American,White,White,Other,Other,Missing,Missing,Suppressed,Suppressed
Index,Week of,County,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths,Cases,Deaths
1,1/31/2021,Alamance,1,,1,,66,,160,,62,,77,,,1
2,1/31/2021,Alexander,,,,,,,18,,6,,41,,5,
3,1/31/2021,Alleghany,,,,,,,16,,2,,1,,,
4,1/31/2021,Anson,,,,,15,,,,,,6,,25,
5,1/31/2021,Ashe,,,,,,,26,,1,,9,,1,
6,1/31/2021,Avery,,,,,,,15,,1,,6,,1,
7,1/31/2021,Beaufort,,,,,,,82,,2,,35,,7,
8,1/31/2021,Bertie,,,,,5,,,,5,,3,,18,
9,1/31/2021,Bladen,,,,,,,30,,22,,15,,22,
10,1/31/2021,Brunswick,,,3,,46,,184,,13,,74,,,
11,1/31/2021,Buncombe,1,,5,,20,,179,,23,,102,,,1
12,1/31/2021,Burke,,,3,,4,,91,,9,,50,,,
13,1/31/2021,Cabarrus,5,,4,,91,,276,,44,,126,,,
14,1/31/2021,Caldwell,,,,,8,,120,,3,,20,,,
15,1/31/2021,Camden,,,,,,,6,,2,,5,,1,
16,1/31/2021,Carteret,,,,,,,67,,4,,28,,8,
17,1/31/2021,Caswell,,,,,,,16,,7,,16,,9,
18,1/31/2021,Catawba,,,14,,16,,198,,43,,171,,,
19,1/31/2021,Chatham,1,,2,,12,,57,,5,,29,,,
20,1/31/2021,Cherokee,,,,,,,20,,,,26,,5,
21,1/31/2021,Chowan,,,,,,,32,,13,,3,,4,
22,1/31/2021,Clay,,,,,,,7,,1,,10,,,
23,1/31/2021,Cleveland,,,,,,,114,,18,,34,,30,
24,1/31/2021,Columbus,,,,,,,76,,,,36,,41,
25,1/31/2021,Craven,1,,1,,44,,120,,4,,88,,,
26,1/31/2021,Cumberland,6,,14,,179,,194,,92,,306,,,
27,1/31/2021,Currituck,,,,,,,16,,,,19,,,
28,1/31/2021,Dare,,,,,,,44,,2,,8,,7,
29,1/31/2021,Davidson,,,1,,39,,272,,29,,139,,,1
30,1/31/2021,Davie,,,,,,,95,,25,,11,,12,
31,1/31/2021,Duplin,,,,,18,,54,,,,1,,,
32,1/31/2021,Durham,1,,12,,161,,118,,103,,100,,,
33,1/31/2021,Edgecombe,,,,,51,,,,11,,12,,48,
34,1/31/2021,Forsyth,3,,17,,169,,543,,108,,181,,,
35,1/31/2021,Franklin,2,,3,,24,,84,,14,,36,,,
36,1/31/2021,Gaston,7,,8,,72,,299,,43,,159,,,1
37,1/31/2021,Gates,,,,,,,3,,14,,8,,6,
38,1/31/2021,Graham,,,,,,,3,,,,1,,1,
39,1/31/2021,Granville,,,1,,30,,42,,9,,39,,,
40,1/31/2021,Greene,,,,,,,43,,11,,6,,6,
41,1/31/2021,Guilford,6,,34,,359,,416,,96,,219,,,2
42,1/31/2021,Halifax,,,,,56,,,,13,,24,,40,
43,1/31/2021,Harnett,,,1,,40,,105,,40,,80,,,1
44,1/31/2021,Haywood,,,,,,,20,,2,,68,,,
45,1/31/2021,Henderson,,,1,,1,,119,,11,,51,,,
46,1/31/2021,Hertford,,,,,10,,,,9,,9,,20,
47,1/31/2021,Hoke,3,,,,22,,26,,27,,26,,,
48,1/31/2021,Hyde,,,,,,,4,,,,1,,2,
49,1/31/2021,Iredell,1,,6,,39,,245,,47,,163,,,
50,1/31/2021,Jackson,4,,,,,,33,,6,,25,,,
51,1/31/2021,Johnston,,,,,66,,193,,89,,97,,,1
52,1/31/2021,Jones,,,,,,,8,,2,,12,,4,
53,1/31/2021,Lee,,,1,,14,,65,,19,,27,,,
54,1/31/2021,Lenoir,,,,,,,81,,17,,48,,32,
55,1/31/2021,Lincoln,,,,,,,145,,38,,44,,6,
56,1/31/2021,Macon,,,,,,,32,,4,,44,,,
57,1/31/2021,Madison,,,,,,,23,,7,,2,,,
58,1/31/2021,Martin,,,,,,,21,,9,,7,,4,
59,1/31/2021,McDowell,,,,,,,75,,3,,22,,2,
60,1/31/2021,Mecklenburg,60,,64,,570,,826,,345,,791,,,1
61,1/31/2021,Missing,,,1,,6,,4,,83,,9,,,
62,1/31/2021,Mitchell,,,,,,,9,,,,1,,,
63,1/31/2021,Montgomery,,,,,,,35,,8,,13,,13,
64,1/31/2021,Moore,,,,,19,,127,,29,,45,,,
65,1/31/2021,Nash,3,,,,78,,73,,12,,75,,,
66,1/31/2021,New Hanover,4,,2,,65,,326,,36,,151,,,
67,1/31/2021,Northampton,,,,,14,,,,5,,4,,7,
68,1/31/2021,Onslow,2,,10,,19,,201,,46,,47,,,
69,1/31/2021,Orange,2,,7,,29,,111,,32,,28,,,
70,1/31/2021,Pamlico,,,,,,,19,,4,,17,,3,
71,1/31/2021,Pasquotank,,,,,,,25,,6,,23,,13,
72,1/31/2021,Pender,1,,,,22,,69,,9,,35,,,
73,1/31/2021,Perquimans,,,,,,,11,,,,4,,3,
74,1/31/2021,Person,,,,,,,38,,6,,16,,32,
75,1/31/2021,Pitt,13,,,,45,,405,,48,,51,,,
76,1/31/2021,Polk,,,,,,,22,,,,18,,3,
77,1/31/2021,Randolph,,,7,,15,,257,,38,,143,,,1
78,1/31/2021,Richmond,,,2,,24,,71,,33,,7,,,
79,1/31/2021,Robeson,73,,,,29,,49,,55,,38,,,
80,1/31/2021,Rockingham,,,,,20,,85,,12,,20,,,
81,1/31/2021,Rowan,4,,6,,55,,231,,22,,88,,,
82,1/31/2021,Rutherford,,,,,,,88,,11,,21,,9,
83,1/31/2021,Sampson,,,1,,21,,36,,5,,66,,,
84,1/31/2021,Scotland,,,,,,,21,,1,,5,,38,1
