County,American Indian or Alaskan Native,Asian or Pacific Islander,Black or African-American,White,Other,Suppressed,Missing or Undisclosed
Alamance ,0.34%,1.58%,17.35%,76.13%,4.36%,,0.24%
Alexander ,,,,93.37%,1.25%,5.28%,0.10%
Alleghany ,,,,80.20%,18.26%,1.10%,0.43%
Anson ,,,38.42%,,0.64%,60.88%,0.06%
Ashe ,,,,93.30%,3.00%,0.84%,2.86%
Avery ,,,,97.44%,0.97%,1.50%,0.09%
Beaufort ,,,,76.74%,2.22%,20.76%,0.28%
Bertie ,,,49.32%,,3.21%,47.33%,0.14%
Bladen ,,,,64.87%,1.19%,33.72%,0.23%
Brunswick ,0.34%,0.52%,6.52%,88.98%,3.41%,,0.23%
Buncombe ,0.20%,1.25%,5.12%,90.05%,2.94%,,0.43%
Burke ,0.16%,1.39%,5.81%,91.11%,1.43%,,0.10%
Cabarrus ,0.30%,3.64%,12.77%,79.67%,3.29%,,0.33%
Caldwell ,0.11%,0.35%,3.21%,93.68%,1.42%,,1.22%
Camden ,,,,77.77%,2.68%,19.13%,0.41%
Carteret ,,,,93.78%,2.82%,3.27%,0.13%
Caswell ,,,,61.95%,2.06%,35.93%,0.06%
Catawba ,0.21%,1.76%,4.98%,90.92%,1.99%,,0.14%
Chatham ,0.30%,2.30%,10.05%,83.40%,3.81%,,0.15%
Cherokee ,,,,97.58%,0.82%,1.09%,0.51%
Chowan ,,,,75.12%,3.91%,20.73%,0.24%
Clay ,,,,98.58%,0.71%,0.64%,0.07%
Cleveland ,,,,81.24%,0.81%,17.66%,0.30%
Columbus ,,,,68.07%,1.79%,29.67%,0.47%
Craven ,0.25%,1.07%,12.68%,82.32%,3.57%,,0.12%
Cumberland ,1.11%,4.42%,33.75%,55.87%,4.74%,,0.12%
Currituck ,,,,90.91%,3.70%,5.27%,0.12%
Dare ,,,,94.84%,3.15%,1.86%,0.15%
Davidson ,0.32%,1.03%,6.57%,90.38%,1.57%,,0.13%
Davie ,,,,92.89%,1.48%,5.60%,0.03%
Duplin ,0.05%,0.39%,23.01%,70.83%,5.51%,,0.21%
Durham ,0.38%,5.30%,24.65%,64.51%,4.58%,,0.57%
Edgecombe ,,,45.92%,,1.44%,52.20%,0.43%
Forsyth ,0.37%,3.19%,17.14%,75.93%,3.21%,,0.16%
Franklin ,0.35%,0.72%,19.58%,76.63%,2.59%,,0.14%
Gaston ,0.38%,1.24%,13.10%,82.21%,2.86%,,0.21%
Gates ,,,,63.62%,1.45%,34.88%,0.05%
Graham ,,,,97.06%,1.09%,1.57%,0.27%
Granville ,0.22%,0.60%,31.39%,65.90%,1.73%,,0.15%
Greene ,,,,60.06%,10.77%,29.03%,0.14%
Guilford ,0.30%,3.07%,21.68%,71.42%,3.40%,,0.12%
Halifax ,,,41.56%,,1.42%,56.71%,0.31%
Harnett ,0.78%,1.13%,16.61%,78.20%,3.03%,,0.25%
Haywood ,,,,93.41%,4.20%,2.25%,0.13%
Henderson ,0.16%,0.67%,2.31%,90.67%,5.42%,,0.78%
Hertford ,,,48.78%,,3.44%,47.50%,0.28%
Hoke ,4.38%,1.61%,36.99%,48.01%,8.65%,,0.36%
Hyde ,,,,76.54%,1.97%,21.40%,0.09%
Iredell ,0.20%,1.78%,8.65%,86.32%,2.85%,,0.20%
Jackson ,0.40%,0.52%,0.68%,96.02%,2.22%,,0.16%
Johnston ,0.36%,1.08%,13.52%,80.76%,3.72%,,0.57%
Jones ,,,,65.94%,0.81%,33.18%,0.07%
Lee ,0.40%,0.93%,14.81%,78.63%,5.04%,,0.20%
Lenoir ,,,,62.00%,5.22%,31.92%,0.85%
Lincoln ,,,,91.06%,3.28%,4.52%,1.15%
Macon ,,,,97.86%,0.87%,1.27%,
Madison ,,,,97.86%,1.05%,0.61%,0.47%
Martin ,,,,61.28%,6.92%,31.23%,0.57%
Mcdowell ,,,,89.40%,7.80%,2.71%,0.08%
Mecklenburg ,0.50%,4.81%,20.32%,68.26%,5.72%,,0.39%
Missing  / Out of State,0.39%,2.26%,8.11%,82.00%,6.29%,,0.96%
Mitchell ,,,,95.05%,1.96%,1.04%,1.96%
Montgomery ,,,,82.74%,1.71%,15.50%,0.06%
Moore ,0.49%,1.01%,7.55%,89.12%,1.74%,,0.09%
Nash ,0.59%,1.19%,31.10%,63.33%,3.40%,,0.39%
New Hanover ,0.32%,1.05%,9.16%,84.47%,4.75%,,0.26%
Northampton ,,,47.68%,,1.34%,50.76%,0.21%
Onslow ,0.44%,2.42%,12.76%,82.31%,2.03%,,0.04%
Orange ,0.23%,6.14%,8.58%,80.36%,4.27%,,0.42%
Pamlico ,,,,80.90%,3.49%,15.51%,0.10%
Pasquotank ,,,,62.77%,5.62%,31.37%,0.25%
Pender ,0.65%,0.52%,14.66%,80.51%,3.40%,,0.26%
Perquimans ,,,,81.29%,2.56%,16.12%,0.03%
Person ,,,,73.13%,1.56%,25.20%,0.11%
Pitt ,0.32%,2.50%,24.63%,68.16%,4.24%,,0.15%
Polk ,,,,93.16%,2.62%,3.52%,0.70%
Randolph ,0.35%,0.90%,5.69%,90.61%,2.17%,,0.29%
Richmond ,0.89%,0.87%,21.87%,72.89%,3.23%,,0.25%
Robeson ,30.80%,0.91%,23.33%,42.45%,2.18%,,0.33%
Rockingham ,0.24%,0.48%,17.61%,79.94%,1.52%,,0.21%
Rowan ,0.28%,1.15%,10.96%,83.63%,3.63%,,0.34%
Rutherford ,,,,88.07%,2.98%,7.11%,1.84%
Sampson ,1.32%,0.60%,26.14%,69.81%,2.03%,,0.11%
Scotland ,,,,60.79%,1.46%,37.70%,0.06%
Stanly ,,,,89.31%,0.81%,9.18%,0.70%
Stokes ,,,,92.59%,3.85%,3.03%,0.52%
